cas,pubchem_sid,cluster
NOCAS_49495,144210252,4
NOCAS_49496,144210253,4
NOCAS_49497,144210254,4
NOCAS_49501,144210258,4
NOCAS_49502,144210259,4
NOCAS_49506,144210263,4
NOCAS_49507,144210264,4
NOCAS_49508,144210265,4
NOCAS_49509,144210266,4
NOCAS_49510,144210267,4
NOCAS_49511,144210268,4
NOCAS_49512,144210269,4
NOCAS_49513,144210270,4
NOCAS_49537,144210294,4
NOCAS_49538,144210295,4
NOCAS_49539,144210296,4
NOCAS_49540,144210297,4
NOCAS_49541,144210298,4
NOCAS_49542,144210299,4
NOCAS_49543,144210300,4
NOCAS_49544,144210301,4
NOCAS_49545,144210302,4
NOCAS_49546,144210303,4
NOCAS_49547,144210304,4
NOCAS_49548,144210305,4
NOCAS_49549,144210306,4
NOCAS_49550,144210307,4
NOCAS_49554,144210311,4
NOCAS_49558,144210315,4
NOCAS_49559,144210316,4
NOCAS_49560,144210317,4
NOCAS_49561,144210318,4
NOCAS_49562,144210319,4
NOCAS_49494,144210251,5
NOCAS_49503,144210260,5
NOCAS_49553,144210310,5
68916-76-7,144211608,7
90045-36-6,144209714,7
8008-45-5,144212971,9
NOCAS_49471,144210228,9
1393-63-1,144209683,11
NOCAS_49498,144210255,17
NOCAS_49499,144210256,17
NOCAS_49500,144210257,17
NOCAS_49504,144210261,17
NOCAS_49505,144210262,17
NOCAS_49552,144210309,17
NOCAS_49556,144210313,17
NOCAS_49557,144210314,17
8028-48-6,144212914,34
11099-03-9,144209736,37
NOCAS_49555,144210312,53
8000-34-8,144212855,54
68610-51-5,144213021,66
NOCAS_49521,144210278,66
NOCAS_49530,144210287,66
8014-17-3,144211607,68
8007-70-3,144213162,68
8007-70-3,144208813,68
61791-12-6,144212860,68
8001-79-4,144208132,68
8046-19-3,144209737,87
8006-90-4,144212981,88
NOCAS_49487,144210244,88
NOCAS_49459,144210216,89
NOCAS_49463,144210220,89
NOCAS_49466,144210223,90
140608-64-6,170465762,90
NOCAS_49492,144210249,91
NOCAS_49515,144210272,92
NOCAS_49529,144210286,92
NOCAS_49531,144210288,92
NOCAS_49532,144210289,92
NOCAS_49514,144210271,93
NOCAS_49516,144210273,93
NOCAS_49517,144210274,93
NOCAS_49518,144210275,93
NOCAS_49528,144210285,93
NOCAS_49533,144210290,93
NOCAS_49534,144210291,93
NOCAS_49535,144210292,93
NOCAS_49536,144210293,93
NOCAS_49551,144210308,95
NOCAS_49445,144210202,100
NOCAS_49447,144210204,100
NOCAS_49454,144210211,100
NOCAS_49468,144210225,100
NOCAS_49489,144210246,100
NOCAS_49448,144210205,101
NOCAS_49451,144210208,101
NOCAS_49452,144210209,101
NOCAS_49455,144210212,101
NOCAS_49464,144210221,101
NOCAS_49465,144210222,101
NOCAS_49470,144210227,101
NOCAS_49472,144210229,101
NOCAS_49473,144210230,101
NOCAS_49474,144210231,101
NOCAS_49477,144210234,101
NOCAS_49490,144210247,101
NOCAS_49491,144210248,101
NOCAS_49456,144210213,102
68917-18-0,144212987,111
8024-48-4,144209691,111
NOCAS_49457,144210214,112
NOCAS_49467,144210224,112
NOCAS_49493,144210250,112
NOCAS_49526,144210283,112
9066-59-5,144206496,113
8008-26-2,144207889,113
NOCAS_49446,144210203,113
NOCAS_49458,144210215,113
NOCAS_49460,144210217,113
NOCAS_49461,144210218,113
NOCAS_49462,144210219,113
NOCAS_49469,144210226,113
NOCAS_49478,144210235,113
NOCAS_49481,144210238,113
NOCAS_49482,144210239,113
NOCAS_49483,144210240,113
NOCAS_49485,144210242,113
NOCAS_49486,144210243,113
NOCAS_49449,144210206,114
NOCAS_49450,144210207,114
NOCAS_49488,144210245,114
NOCAS_49520,144210277,114
NOCAS_49522,144210279,114
68606-83-7,144213020,119
NOCAS_49476,144210233,123
NOCAS_49519,144210276,123
8052-41-3,144209809,124
NOCAS_49479,144210236,124
NOCAS_49480,144210237,124
NOCAS_49484,144210241,124
NOCAS_49527,144210284,124
84776-26-1,144209927,126
NOCAS_49453,144210210,135
NOCAS_49475,144210232,135
NOCAS_49523,144210280,136
NOCAS_49524,144210281,136
NOCAS_49525,144210282,136
